_id,url,word_count,section,date,type,headline,abstract
nyt://article/be3e27c7-d334-5a1a-ac59-afe8c9379453,https://www.nytimes.com/1986/12/24/business/company-news-unisys-navy-deal.html,51,Business Day,1986-12-24T05:00:00+0000,Financial Desk,Unisys Navy Deal,"  WASHINGTON, Dec. 23 (Reuters) -    The Unisys Corporation has been awarded a $509 million Navy contract modification for the production of navigation and other equipment for the Trident missile program, the Defense Department said. Unisys, based in Detroit, was created by the merger of the Burroughs and Sperry corporations."
nyt://article/2d5426df-f2c4-5b14-8d16-80f62dbad928,https://www.nytimes.com/1986/11/04/business/company-news-shaklee-to-buy-rjr-nabisco-unit.html,98,Business Day,1986-11-04T05:00:00+0000,Financial Desk,Shaklee to Buy RJR Nabisco Unit,"  The Shaklee Corporation said that it had agreed to purchase the Bear Creek Corporation, a direct marketing company, from RJR Nabisco Inc. for $123 million."
nyt://article/c316d222-9d07-540c-8b0d-c1d09357e278,https://www.nytimes.com/1986/10/25/business/company-news-perelman-has-15-transworld-stake.html,482,Business Day,1986-10-25T05:00:00+0000,Financial Desk,PERELMAN HAS 15% TRANSWORLD STAKE,"  Ronald O. Perelman, the New York investor who took control of Revlon Inc. last year, has been secretly amassing Transworld Corporation stock in recent weeks and now owns about 15 percent of its outstanding shares, the company disclosed yesterday.   In a brief statement, Transworld, the owner of Hilton International, Spartan Food Systems and the Canteen Corporation, said it had no other information regarding the acquisition of the stock.   But Wall Street sources say Transworld was recently contacted ''indirectly'' by someone familiar with Mr. Perelman's actions, although the company has still not been able to ascertain the investor's intentions."
nyt://article/96fd6c64-a54b-5621-870c-eba371020cd6,https://www.nytimes.com/1986/10/05/business/what-s-new-in-wellness-programs-going-for-non-cash-benefits.html,428,Business Day,1986-10-05T05:00:00+0000,Financial Desk,GOING FOR NON-CASH BENEFITS,  WORKSITE wellness programs do more than lower medical costs. Here are just a few of the claims that wellness consultants make:    * Excercise perks up lethargic employees.    * Community safety campaigns polish a corporation's ''good-citizen'' image.
nyt://article/02fbef53-62b7-5f5a-8087-b316f638074c,https://www.nytimes.com/1986/10/09/business/europeans-protest-on-chips.html,222,Business Day,1986-10-09T05:00:00+0000,Financial Desk,Europeans Protest on Chips,"  The European Community said today that it would ask the General Agreement on Tariffs and Trade to investigate the legality of a United States-Japan accord on semiconductor prices.   The community's executive commission said the agreement, reached July 30, violated GATT's fair-trade rules."
nyt://article/52ce3c23-c13e-5fb5-9c37-b4c075b32b13,https://www.nytimes.com/1986/10/24/business/donald-duck-learns-chinese.html,650,Business Day,1986-10-24T05:00:00+0000,Financial Desk,DONALD DUCK LEARNS CHINESE,"  A large animated mouse and an orange-billed duck in a red bow tie waddled into Peking today to sell Disney's magic kingdom to one billion Chinese.   Chaperoned by the chairman and president of the Walt Disney Company, Mickey Mouse and Donald Duck wandered through one of this city's sumptuous new hotels to mark the announcement that the cartoon adventures of the two would flicker across Chinese television screens beginning this Sunday.   Disney's chairman, Michael D. Eisner, said that 104 episodes of 30 minutes' duration would be broadcast over Chinese national TV over the next two years. 'Three Generations of Children'    And Frank G. Wells, the president and chief operating officer of Disney, said: ''As you know, there are at least three generations of children in China who don't know who Mickey and Donald were. We decided the first move should be to bring the characters to national television.''"
nyt://article/97a08340-51dc-5019-8b76-3dba395d556b,https://www.nytimes.com/1986/10/14/business/company-news-chicago-title-deal.html,89,Business Day,1986-10-14T05:00:00+0000,Financial Desk,Chicago Title Deal,"  The Chicago Title and Trust Company, a subsidiary of the Alleghany Corporation, said it had reached an agreement to purchase the Safeco Title Insurance Company, a unit of the Safeco Corporation."
nyt://article/b5b51fca-95ff-50e9-b46f-3d94ca30b8af,https://www.nytimes.com/1986/11/20/business/advertising-control-data-planning-acquisition-of-bar.html,87,Business Day,1986-11-20T05:00:00+0000,Financial Desk,Control Data Planning Acquisition of B.A.R.,"  Broadcast Advertisers Reports, which has been monitoring advertising on televison and radio for 32 years and on cable more recently, is about to be acquired by the Control Data Corporation, which already owns Arbitron Ratings, itself a major force in monitoring and measuring broadcasting. No details on the planned deal were released.   Included in the buy will be the B.A.R. subsidiary, Radio TV Reports, which serves the advertising community by supplying tapes and scripts of competitive commercials that it records off the air."
nyt://article/a06cdef4-1cdd-5677-a006-389fa2422da1,https://www.nytimes.com/1986/10/19/world/soviet-ends-secrecy-on-grain.html,190,World,1986-10-19T05:00:00+0000,Foreign Desk,SOVIET ENDS SECRECY ON GRAIN,"  The Soviet Union has published figures on the size of the grain harvest for 1985, after five years of withholding information on the annual grain crop.   Figures of the Central Statistical Administration this week showed that 191.6 million metric tons of grain were harvested last year, well below the annual goal of 239 million."
nyt://article/9f0b145a-9d9c-503c-8ef3-3a26d70583b0,https://www.nytimes.com/1986/10/14/business/technology-concerns-in-black.html,436,Business Day,1986-10-14T05:00:00+0000,Financial Desk,Technology Concerns in Black,"  Two of the nation's leading technology concerns, the United Technologies Corporation and TRW Inc., posted profits in the third quarter in contrast to losses in the corresponding 1985 period. But both companies continued to be hurt by problems at various operations, including their military contracting units.   United Technologies reported yesterday that it had net income of $108.2 million, or 80 cents a share, in the third quarter in contrast to a loss of $45.6 million in the 1985 period. But the diversified high-technology concern said that earnings from continuing operations fell 26.6 percent, to $108.2 million, or 80 cents a share, from $147.5 million, or $1.08 a share, in the 1985 quarter. Revenues rose 12.2 percent, to $3.87 billion, from $3.45 billion."
nyt://article/f38798d7-f37d-52cc-9c80-8804ed93f32a,https://www.nytimes.com/1986/10/03/business/advertising-a-different-approach-by-voter-campaign.html,143,Business Day,1986-10-03T05:00:00+0000,Financial Desk,A Different Approach By Voter Campaign,"  As a public service effort Grey Advertising has created and taped a bunch of 10-second or 15-second commercials to help Vote America Youth Initiative, a Washington-based nonprofit organization, stimulate the nation's young voters to show up at the polls.   Rather than following the customary practice of depending on time donated by TV stations and networks, the organization has lined up corporate sponsors who will give the group time slots they have purchased."
nyt://article/fcd77bff-afae-59b8-bc0f-fb22282e8b28,https://www.nytimes.com/1986/10/15/world/belgium-s-leader-offers-resignation.html,148,World,1986-10-15T05:00:00+0000,Foreign Desk,BELGIUM'S LEADER OFFERS RESIGNATION,"  Prime Minister Wilfried Martens offered his resignation to King Baudouin today after failing to resolve a dispute over language that has split his coalition of Dutch and French speakers, a Government spokesman said.   The spokesman added that the King had withheld acceptance of the offer. Mr. Martens unexpectedly went to the Royal Palace after a Cabinet meeting this morning and shortly before he was due to make an address to Parliament."
nyt://article/aa94ffaf-f84d-57ae-bdde-1999bb18a075,https://www.nytimes.com/1986/10/13/business/bankamerica-recalling-clausen-gone-5-years-as-chief-executive.html,1255,Business Day,1986-10-13T05:00:00+0000,Financial Desk,"BANKAMERICA RECALLING CLAUSEN, GONE 5 YEARS, AS CHIEF EXECUTIVE","  The board of directors of the troubled BankAmerica Corporation, in a special meeting today, named A. W. Clausen, former president of the World Bank, to resume the helm of the banking company he once led.   Mr. Clausen, who is 63 years old, was chief executive officer of BankAmerica from 1970 until 1981, when he left to join the World Bank. He returns as chairman and chief executive officer of both the bank holding company and its subsidiary, the Bank of America.   He will face the task of restoring the giant California bank to health after a long period of huge losses from bad loans, management turmoil and high costs.   The action of the board follows the resignation Friday of Samuel H. Armacost, 47, as president and chief executive officer of the BankAmerica Corporation and chairman and chief executive of its bank. He had presided over the bank since 1981, as its fortunes steadily diminished."
nyt://article/bc52faba-b754-5180-a6b6-93ef8daa9dd0,https://www.nytimes.com/1986/10/12/world/sudanese-flee-strife-to-find-new-despair.html,942,World,1986-10-12T05:00:00+0000,Foreign Desk,SUDANESE FLEE STRIFE TO FIND NEW DESPAIR,"  People of the southern Sudan are fleeing the madness of war, clutching with desperate intensity the fragile promise of something better in the north. What they too often find is a squalid dead end, where life is just as precarious.   Garang Garang fled two months ago with his five wives and children from a village near the town of Wau. The area is one of the most desperate in the south; riots have broken out there in attempts to get what little food is left in stores. A wide segment of the population is threatened with starvation, and chaos prevails. Mr. Garang sold his four cows to afford the six-day journey by car to Omdurman, which involved travel on roads set with land mines."
nyt://article/06fc0863-de78-5536-9f0f-fc6ac7b2b379,https://www.nytimes.com/1986/11/23/business/the-case-for-an-sec-in-britain.html,958,Business Day,1986-11-23T05:00:00+0000,Financial Desk,THE CASE FOR AN S.E.C. IN BRITAIN,"  NOT one but two two insider-trading scandals have unsettled London's financial community during the past two weeks. The case of Ivan F. Boesky, whose interests included a British investment fund, came just a few days after Geoffrey Collier, a former top stock trader at a leading London merchant bank, was forced to resign for improperly using confidential information for personal trades.   The two cases have focused attention on the long-neglected problem of insider trading in Britain. Many here claim that the Collier case was merely the ''tip of the iceberg.'' and that the ability of the Securities and Exchange Commission to catch a big-time operator like Mr. Boesky shows the need to replace Britain's system of largely self-regulation with an American-style independent watchdog agency."
nyt://article/4209c138-e6d7-575f-913f-3dd1e8ada52a,https://www.nytimes.com/1986/11/05/business/company-news-pan-am-profits-down-73.9.html,131,Business Day,1986-11-05T05:00:00+0000,Financial Desk,Pan Am Profits Down 73.9%,"  The Pan Am Corporation said yesterday that earnings in the third quarter plunged 73.9 percent on a 12.9 percent decline in revenues, which it attributed in part to foreign exchange losses and to a decline in trans-Atlantic travel. Pan Am, the parent of Pan   American World Airways Inc., said net income dropped to $5.5 million, or 4 cents a share, from $21.1 million, or 18 cents a share, in the corresponding quarter a year earlier."
nyt://article/49384dd7-86f1-5773-8aab-3acbdba48f27,https://www.nytimes.com/1986/12/08/business/executive-changes-566686.html,345,Business Day,1986-12-08T05:00:00+0000,Financial Desk,EXECUTIVE CHANGES,"    * Allied Stores Corp. appointed Leonard H. Mogil president and division chief executive of Joske's of Texas, a 27-store department store chain in Dallas. He replaces Robert L. Mettler, who resigned.    * Atlantic Mutual Cos. named Kenneth J. Gorman senior executive vice president and elected Mr. Gorman and George A. von Hassel trustees of the Atlantic Mutual Insurance Co. and directors of the Centennial Insurance Cos."
nyt://article/204ff9f8-3f1a-519c-b4df-5bad8ea4dd18,https://www.nytimes.com/1986/11/10/business/gelco-ruling-on-buyback.html,115,Business Day,1986-11-10T05:00:00+0000,Financial Desk,Gelco Ruling On Buyback,"  The Gelco Corporation can proceed with its plan to repurchase up to 6 million shares of its common stock, or 46 percent of the company, a Federal District Court in St. Paul ruled on Friday."
nyt://article/43a429ab-c3f8-5bfd-9060-92eecd16f25c,https://www.nytimes.com/1986/12/17/business/business-digest-wednesday-december-17-1986.html,721,Business Day,1986-12-17T05:00:00+0000,Financial Desk,"BUSINESS DIGEST: WEDNESDAY, DECEMBER 17, 1986","  Companies    Two large banking concerns in Texas agreed to merge. The combination of Republicbank and Interfirst, to be called First Republicbank, would form the nation's 12th-largest bank holding company, with $35 billion in assets. The announcement came just a day after Chemical announced a $1.19 billion deal for Texas Commerce Bancshares.  [ Page D1. ]  Potential acquirers of Texas banking companies are now left with few desirable choices, experts said.  [ D4. ]    A two-year-old Manhattan tower was bought by a Japanese concern for a record price for New York office space. Kato Kagaku, the world's largest corn syrup producer, will pay $301 million, or $500 a square foot, for the building on East 49th Street.  [ D1. ]"
nyt://article/399c60f7-6bdf-5041-bd21-5221e954a87b,https://www.nytimes.com/1986/11/05/business/company-news-gillette-shares-climb-4.375.html,126,Business Day,1986-11-05T05:00:00+0000,Financial Desk,Gillette Shares Climb $4.375,"  Shares of the Gillette Company, maker of Gillette razor blades, rose $4.375 yesterday, to $52.50, in the third day of heavy trading."
