_id,url,word_count,section,date,type,headline,abstract
nyt://article/20e0085e-2724-5cdd-abdd-ebf2f95d3cb5,https://www.nytimes.com/1989/08/10/business/company-news-cummins-engine-amends-pill-plan.html,183,Business Day,1989-08-10T05:00:00+0000,Financial Desk,Cummins Engine Amends 'Pill' Plan,"LEAD: The Cummins Engine Company, fighting off the latest potential takeover threat, said it had amended its ''poison pill'' defense. Under the plan, directors of the diesel-engine maker may grant shareholders the right to buy new shares for $1 each if someone acquires 15 percent of the company's stock."
nyt://article/e36d1a0e-6609-59c6-97c2-4a0733b13f48,https://www.nytimes.com/1989/08/29/business/company-news-tourism-plan-in-france-fails.html,234,Business Day,1989-08-29T05:00:00+0000,Financial Desk,Tourism Plan In France Fails,"LEAD: Efforts to form Europe's third-largest tourism company broke down today, as officials of the companies involved -Club Med Inc. and the air-charter group, Nouvelles Frontieres S.A. - backed away from a preliminary agreement reached in April. Under the accord, Club"
nyt://article/aca9ab84-e476-51c6-ad00-f021603e35db,https://www.nytimes.com/1989/08/07/world/2-big-powers-back-world-court-role.html,612,World,1989-08-07T05:00:00+0000,Foreign Desk,2 BIG POWERS BACK WORLD COURT ROLE,"LEAD: In a move to strengthen international law, the United States and the Soviet Union have agreed to accept the binding arbitration of the International Court of Justice in disputes over seven treaties dealing with terrorism and drug trafficking, American diplomats and other officials say."
nyt://article/a31091c2-2bf1-50d6-b825-830e3191e1cd,https://www.nytimes.com/1989/07/19/business/united-planning-flights-to-europe.html,828,Business Day,1989-07-19T05:00:00+0000,Financial Desk,United Planning Flights to Europe,"LEAD: United Airlines, which has profited from its acquisition of routes across the Pacific, announced yesterday that it would begin flying to Europe next spring, pending government approval."
nyt://article/c942fdf0-dc23-5e84-b76d-bba3f2936bc5,https://www.nytimes.com/1989/08/23/world/polish-communists-condemn-1939-pact.html,170,World,1989-08-23T05:00:00+0000,Foreign Desk,Polish Communists Condemn 1939 Pact,LEAD: The Communist Party Politburo today condemned the Nazi-Soviet pact that carved up Poland as invalid and a violation of international law.
nyt://article/24d3a65f-bd39-5835-b374-69e4f9430a52,https://www.nytimes.com/1989/09/21/business/briefs-190689.html,183,Business Day,1989-09-21T05:00:00+0000,Financial Desk,BRIEFS,LEAD:  Debt
nyt://article/6efc5923-007b-509b-8e91-239f3bc657a1,https://www.nytimes.com/1989/09/04/business/sec-move-on-baskets.html,267,Business Day,1989-09-04T05:00:00+0000,Financial Desk,S.E.C. Move On 'Baskets',LEAD: The Securities and Exchange Commission said Friday that it would ask the full United States Court of Appeals for the Seventh Circuit to review a recent decision by a panel of the court that ordered a halt to trading on two stock exchanges of hybrid financial instruments known as stock baskets.
nyt://article/49ef1732-88f2-51f0-bf62-ad2e74d1892c,https://www.nytimes.com/1989/09/23/business/gallo-curbing-skid-row-sales.html,216,Business Day,1989-09-23T05:00:00+0000,Financial Desk,Gallo Curbing Skid Row Sales,"LEAD: The E.&J. Gallo Winery, the world's largest wine maker, said this week that it had stopped selling its high-alcohol Thunderbird and Night Train brands to retailers in skid rows throughout the country. The skid rows were not identified. Thunderbird and Night"
nyt://article/6f5372e3-b2a8-5a50-9a3d-0ecd3c4f6b57,https://www.nytimes.com/1989/07/13/business/hungarian-fund-aid.html,160,Business Day,1989-07-13T05:00:00+0000,Financial Desk,Hungarian Fund Aid,"LEAD: The International Finance Corporation, an arm of the World Bank, has said it is helping set up the first fund for foreign portfolio investment in Hungary. International Finance said on Tuesday that it would put up $7.5 million, or 15 percent of the shares in the First Hungary Fund, which is to total $50 million and to last 10 years."
nyt://article/67852b9e-852c-5ed2-b0ab-b62fe05a914e,https://www.nytimes.com/1989/09/21/world/deputies-order-papandreou-to-stand-trial-in-wiretapping.html,510,World,1989-09-21T05:00:00+0000,Foreign Desk,Deputies Order Papandreou To Stand Trial in Wiretapping,LEAD: Former Prime Minister Andreas Papandreou was ordered by Parliament today to stand trial on criminal charges of ordering illegal telephone wiretapping during his eight years in power.
